ID,bank branch,funding type,funding classification,customer sector,installment value,cashing date,sex,age,social status,special needs,number of family members,saving loan,income,financing value
948,Kharj,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
949,Taif,social,marriage,government employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,48000
950,Kharj,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 10,No,< 5000,18000
951,Kharj,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 10,No,>= 10000,18000
952,Hail,social,family,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,< 5000,30000
953,Hail,social,family,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,< 5000,30000
954,Jeddah,social,family,employee of a government company,< 1000,2019/02,FEMALE,>= 40,widow,No,>= 02,No,>= 10000,60000
955,Jeddah,social,family,employee of a government company,< 1000,2019/02,FEMALE,>= 40,widow,No,>= 02,No,< 5000,60000
956,Riyadh,project,excellence,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,married,No,>= 02,No,>= 7500,544000
957,Kharj,social,family,government employee,< 1000,2019/03,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
958,Jeddah,social,family,private sector employee,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 5000,36000
959,Jeddah,social,family,private sector employee,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 10000,36000
960,Kharj,social,family,government employee,< 1000,2019/01,MALE,>= 30,married,No,>= 05,No,>= 5000,18000
961,Kharj,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
962,Jeddah,social,family,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 7500,60000
963,Medina,social,family,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,>= 7500,60000
964,Medina,social,family,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,< 5000,60000
965,Kharj,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,divorced,No,>= 02,No,< 5000,60000
966,Kharj,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,divorced,No,>= 02,No,>= 5000,60000
967,Tabuk,social,family,employee of a government company,>= 1000,2019/01,MALE,< 30,widow,No,>= 05,No,< 5000,60000
968,Tabuk,social,family,employee of a government company,>= 1000,2019/01,MALE,< 30,widow,No,>= 05,No,>= 10000,60000
969,Jeddah,social,marriage,government employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,36000
970,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 30,married,Yes,>= 05,No,< 5000,60000
971,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 30,married,Yes,>= 05,No,>= 10000,60000
972,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 40,married,No,>= 10,No,>= 10000,24000
973,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 40,married,No,>= 10,No,>= 5000,24000
974,Taif,social,marriage,government employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
975,Taif,social,family,employee of a government company,< 1000,2019/03,FEMALE,>= 40,widow,No,>= 02,No,< 5000,60000
976,Taif,social,family,employee of a government company,< 1000,2019/03,FEMALE,>= 40,widow,No,>= 02,No,>= 10000,60000
977,Taif,social,family,government employee,>= 1000,2019/03,MALE,>= 40,married,No,>= 05,No,< 5000,60000
978,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,married,No,>= 10,No,< 5000,60000
979,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,married,No,>= 10,No,>= 10000,60000
980,Kharj,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
981,Kharj,social,renovation,government employee,>= 1000,2019/01,MALE,>= 40,married,No,>= 02,No,>= 7500,60000
982,Kharj,social,family,Government retired,>= 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 5000,60000
983,Kharj,social,family,Government retired,>= 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
984,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
985,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
986,Jeddah,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,18000
987,Jeddah,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,18000
988,Medina,social,family,government employee,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
989,Jeddah,project,emerging,private sector employee,>= 1000,2019/01,MALE,>= 40,married,No,< 02,No,< 5000,194000
990,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,48000
991,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,48000
992,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,60000
993,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
994,Tabuk,social,family,Government retired,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
995,Tabuk,social,family,Government retired,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
996,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
997,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
998,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,>= 7500,60000
999,Kharj,social,family,Government retired,< 1000,2019/01,MALE,>= 60,married,No,>= 05,No,< 5000,60000
1000,Taif,social,family,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 05,No,< 5000,60000
1001,Taif,social,family,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 05,No,>= 10000,60000
1002,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
1003,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,60000
1004,Kharj,social,family,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1005,Kharj,social,family,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
1006,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 7500,60000
1007,Jeddah,social,marriage,employee of a government company,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1008,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 5000,60000
1009,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
1010,Taif,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1011,Tabuk,social,marriage,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,30000
1012,Riyadh,social,marriage,government employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1013,Jeddah,transfer,taxi cab,government employee,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,77360
1014,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 40,married,No,>= 10,No,>= 7500,60000
1015,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 40,married,No,>= 10,No,< 5000,60000
1016,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
1017,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1018,Jeddah,social,marriage,government employee,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1019,Jeddah,project,emerging,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,married,No,< 02,No,< 5000,249000
1020,Taif,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,24000
1021,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 60,married,Yes,>= 02,Yes,< 5000,36000
1022,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 60,married,Yes,>= 02,Yes,>= 10000,36000
1023,Jeddah,social,family,employee of a government company,< 1000,2019/03,MALE,>= 60,married,Yes,>= 02,No,< 5000,36000
1024,Jeddah,social,family,employee of a government company,< 1000,2019/03,MALE,>= 60,married,Yes,>= 02,No,>= 10000,36000
1025,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1026,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1027,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1028,Taif,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1029,Tabuk,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1030,Taif,transfer,taxi cab,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,>= 10000,99935
1031,Taif,transfer,taxi cab,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,99935
1032,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1033,Jeddah,social,marriage,employee of a government company,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,< 5000,60000
1034,Jeddah,social,marriage,employee of a government company,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1035,Jeddah,social,family,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 5000,60000
1036,Jeddah,social,family,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 10000,60000
1037,Jeddah,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,< 30,single,No,< 02,No,< 5000,257000
1038,Taif,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1039,Taif,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,married,No,< 02,No,< 5000,175000
1040,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1041,Jeddah,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
1042,Jeddah,social,family,employee of a government company,< 1000,2019/01,MALE,>= 40,married,No,>= 05,No,< 5000,60000
1043,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 5000,60000
1044,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
1045,Taif,project,emerging,employee of a government company,>= 1000,2019/01,MALE,< 30,single,No,< 02,No,< 5000,158000
1046,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
1047,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,60000
1048,Taif,social,family,government employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1049,Taif,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1050,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1051,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1052,Jeddah,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,54000
1053,Jeddah,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,54000
1054,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
1055,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 5000,60000
1056,Jeddah,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,190000
1057,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1058,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
1059,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 7500,60000
1060,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
1061,Tabuk,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,married,No,< 02,No,< 5000,176000
1062,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1063,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
1064,Taif,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1065,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1066,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1067,Jeddah,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1068,Jeddah,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
1069,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1070,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1071,Jeddah,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
1072,Jeddah,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1073,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1074,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1075,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,48000
1076,Jeddah,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,48000
1077,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1078,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1079,Jeddah,social,family,private sector employee,< 1000,2019/03,MALE,>= 30,married,No,>= 05,No,>= 7500,48000
1080,Jeddah,social,family,private sector employee,< 1000,2019/03,MALE,>= 30,married,No,>= 05,No,>= 10000,48000
1081,Riyadh,social,family,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,< 5000,60000
1082,Riyadh,social,family,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 5000,60000
1083,Jeddah,project,solution,employee of a government company,>= 1000,2019/01,MALE,< 30,single,No,< 02,No,< 5000,118000
1084,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,< 5000,60000
1085,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
1086,Jeddah,social,family,government employee,>= 1000,2019/03,MALE,>= 40,married,No,>= 10,No,>= 5000,60000
1087,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,30000
1088,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,30000
1089,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,60000
1090,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
1091,Jeddah,social,marriage,private sector employee,>= 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,60000
1092,Jeddah,social,marriage,private sector employee,>= 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1093,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1094,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1095,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
1096,Tabuk,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1097,Jeddah,social,marriage,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,48000
1098,Jeddah,social,marriage,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,48000
1099,Jeddah,social,marriage,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,42000
1100,Jeddah,social,marriage,employee of a government company,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,42000
1101,Riyadh,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 7500,18000
1102,Tabuk,social,family,private sector employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,Yes,>= 10000,36000
1103,Tabuk,social,family,private sector employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,Yes,>= 5000,36000
1104,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,Yes,>= 10000,30000
1105,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1106,Jeddah,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1107,Jeddah,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1108,Jeddah,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1109,Jeddah,social,family,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 05,No,< 5000,60000
1110,Al Qurayyat,project,solution,employee of a government company,>= 1000,2019/01,MALE,< 30,single,No,>= 02,No,>= 7500,210000
1111,Jeddah,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,42000
1112,Jeddah,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,42000
1113,Tabuk,social,family,Government retired,>= 1000,2019/01,MALE,>= 60,married,No,>= 10,No,>= 10000,60000
1114,Tabuk,social,family,Government retired,>= 1000,2019/01,MALE,>= 60,married,No,>= 10,No,< 5000,60000
1115,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 10,No,>= 7500,18000
1116,Jeddah,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,< 30,single,No,< 02,No,< 5000,243000
1117,Jeddah,social,family,employee of a government company,>= 1000,2019/03,FEMALE,< 30,widow,No,>= 02,No,< 5000,60000
1118,Jeddah,social,family,employee of a government company,>= 1000,2019/03,FEMALE,< 30,widow,No,>= 02,No,>= 10000,60000
1119,Tabuk,social,family,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 05,No,>= 5000,60000
1120,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,54000
1121,Tabuk,social,family,employee of a government company,< 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,< 5000,42000
1122,Tabuk,social,family,employee of a government company,< 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,>= 10000,42000
1123,Jeddah,social,marriage,government employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,24000
1124,Medina,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 40,widow,No,>= 10,No,< 5000,60000
1125,Medina,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 40,widow,No,>= 10,No,>= 10000,60000
1126,Medina,social,marriage,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,Yes,>= 10000,54000
1127,Medina,social,marriage,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,Yes,< 5000,54000
1128,Tabuk,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
1129,Riyadh,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,30000
1130,Tabuk,social,family,Government retired,< 1000,2019/02,MALE,>= 40,married,No,>= 10,No,>= 5000,48000
1131,Tabuk,social,family,Government retired,< 1000,2019/02,MALE,>= 40,married,No,>= 10,No,>= 7500,48000
1132,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,divorced,No,>= 05,No,< 5000,60000
1133,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,divorced,No,>= 05,No,>= 7500,60000
1134,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 05,No,>= 7500,60000
1135,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1136,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,60000
1137,Jeddah,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,30000
1138,Jeddah,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,60000
1139,Riyadh,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 60,widow,No,>= 02,No,< 5000,60000
1140,Riyadh,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 60,widow,No,>= 02,No,>= 5000,60000
1141,Jeddah,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1142,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,Yes,>= 02,No,>= 7500,60000
1143,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,Yes,>= 02,No,>= 7500,60000
1144,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1145,Tabuk,social,family,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 05,No,< 5000,60000
1146,Tabuk,social,family,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 05,No,>= 7500,60000
1147,Jeddah,transfer,taxi cab,government employee,>= 1000,2019/02,MALE,>= 40,married,No,>= 02,No,< 5000,77360
1148,Jeddah,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1149,Jeddah,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,60000
1150,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1151,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1152,Jeddah,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,36000
1153,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1154,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,60000
1155,Tabuk,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,married,No,< 02,No,< 5000,180000
1156,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 10000,60000
1157,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,60000
1158,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1159,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1160,Jeddah,social,marriage,private sector employee,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
1161,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,married,No,>= 02,No,< 5000,60000
1162,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,married,No,>= 02,No,>= 10000,60000
1163,Jeddah,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,< 5000,60000
1164,Tabuk,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 5000,60000
1165,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1166,Riyadh,social,family,government employee,< 1000,2019/03,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
1167,Jeddah,social,marriage,private sector employee,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1168,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1169,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1170,Jeddah,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
1171,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
1172,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1173,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,48000
1174,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,48000
1175,Jeddah,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
1176,Jeddah,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 40,married,No,< 02,No,< 5000,189000
1177,Medina,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
1178,Medina,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,60000
1179,Jeddah,project,emerging,private sector employee,>= 1000,2019/01,MALE,< 30,single,No,< 02,No,< 5000,204000
1180,Jeddah,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,18000
1181,Jeddah,project,emerging,employee of a government company,>= 1000,2019/02,MALE,>= 30,single,No,< 02,No,< 5000,199000
1182,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
1183,Jeddah,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
1184,Jeddah,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,60000
